SUBSIDIARY_CD,SUPPLIER_CD,FACILITY_CD,year,month,PRODUCTION_ABILITY_MAX,PRODUCTION_ABILITY_MIN,DUE_DATE_DELAYED_LINE
CHN,0AIO,F2A,2016,12,10000,0,15000
CHN,0AIO,F2A,2017,1,10000,0,15000
CHN,0AIO,F2A,2017,2,10000,0,15000
CHN,0AIO,F2A,2017,3,10000,0,15000
CHN,0AIO,F2A,2017,4,10000,0,15000
CHN,0AIO,F2A,2017,5,10000,0,15000
CHN,0AIO,F2A,2017,6,10000,0,15000
CHN,0AIO,F2A,2017,7,10000,0,15000
CHN,0AIO,F2A,2017,8,10000,0,15000
CHN,0AIO,F2A,2017,9,10000,0,15000
CHN,0AIO,F2A,2017,10,10000,0,15000
CHN,0AIO,F2A,2017,11,10000,0,15000
CHN,0AIO,F2A,2017,12,10000,0,15000
CHN,0AIO,F2A,2018,1,10000,0,15000
CHN,0AIO,F2A,2018,2,10000,0,15000
CHN,0AIO,F2A,2018,3,10000,0,15000
CHN,0AIO,F2A,2018,4,10000,0,15000
CHN,0AIO,F2A,2018,5,10000,0,15000
CHN,0AIO,F2A,2018,6,10000,0,15000
CHN,0AIO,F2A,2018,7,10000,0,15000
CHN,0AIO,F2A,2018,8,10000,0,15000
CHN,0AIO,F2A,2018,9,10000,0,15000
CHN,0AIO,F2A,2018,10,10000,0,15000
CHN,0AIO,F2A,2018,11,10000,0,15000
CHN,0AIO,F2A,2018,12,10000,0,15000
CHN,0AIO,F2A,2019,1,10000,0,15000
CHN,0AIO,F2A,2019,2,10000,0,15000
CHN,0AIO,F2A,2019,3,10000,0,15000
CHN,0AIO,F2A,2019,4,10000,0,15000
CHN,0AIO,F2A,2019,5,10000,0,15000
CHN,0AIO,F2A,2019,6,10000,0,15000
CHN,0AIO,F2A,2019,7,10000,0,15000
CHN,0AIO,F2A,2019,8,10000,0,15000
CHN,0AIO,F2A,2019,9,10000,0,15000
CHN,0AIO,F2A,2019,10,10000,0,15000
CHN,0AIO,F2A,2019,11,10000,0,15000
CHN,0AIO,F2A,2019,12,10000,0,15000
CHN,0AIO,F2A,2020,1,10000,0,15000
CHN,0AIO,F2A,2020,2,10000,0,15000
CHN,0AIO,F2A,2020,3,10000,0,15000
CHN,0AIO,F2A,2020,4,10000,0,15000
CHN,0AIO,F2A,2020,5,10000,0,15000
CHN,0AIO,F2A,2020,6,10000,0,15000
MJP,0143,AIO,2016,12,10000,0,15000
MJP,0143,AIO,2017,1,10000,0,15000
MJP,0143,AIO,2017,2,10000,0,15000
MJP,0143,AIO,2017,3,10000,0,15000
MJP,0143,AIO,2017,4,10000,0,15000
MJP,0143,AIO,2017,5,10000,0,15000
MJP,0143,AIO,2017,6,10000,0,15000
MJP,0143,AIO,2017,7,10000,0,15000
MJP,0143,AIO,2017,8,10000,0,15000
MJP,0143,AIO,2017,9,10000,0,15000
MJP,0143,AIO,2017,10,10000,0,15000
MJP,0143,AIO,2017,11,10000,0,15000
MJP,0143,AIO,2017,12,10000,0,15000
MJP,0143,AIO,2018,1,10000,0,15000
MJP,0143,AIO,2018,2,10000,0,15000
MJP,0143,AIO,2018,3,10000,0,15000
MJP,0143,AIO,2018,4,10000,0,15000
MJP,0143,AIO,2018,5,10000,0,15000
MJP,0143,AIO,2018,6,10000,0,15000
MJP,0143,AIO,2018,7,10000,0,15000
MJP,0143,AIO,2018,8,10000,0,15000
MJP,0143,AIO,2018,9,10000,0,15000
MJP,0143,AIO,2018,10,10000,0,15000
MJP,0143,AIO,2018,11,10000,0,15000
MJP,0143,AIO,2018,12,10000,0,15000
MJP,0143,AIO,2019,1,10000,0,15000
MJP,0143,AIO,2019,2,10000,0,15000
MJP,0143,AIO,2019,3,10000,0,15000
MJP,0143,AIO,2019,4,10000,0,15000
MJP,0143,AIO,2019,5,10000,0,15000
MJP,0143,AIO,2019,6,10000,0,15000
MJP,0143,AIO,2019,7,10000,0,15000
MJP,0143,AIO,2019,8,10000,0,15000
MJP,0143,AIO,2019,9,10000,0,15000
MJP,0143,AIO,2019,10,10000,0,15000
MJP,0143,AIO,2019,11,10000,0,15000
MJP,0143,AIO,2019,12,10000,0,15000
MJP,0143,AIO,2020,1,10000,0,15000
MJP,0143,AIO,2020,2,10000,0,15000
MJP,0143,AIO,2020,3,10000,0,15000
MJP,0143,AIO,2020,4,10000,0,15000
MJP,0143,AIO,2020,5,10000,0,15000
MJP,0143,AIO,2020,6,10000,0,15000
VNM,SPCM,SAL,2016,12,10000,0,15000
VNM,SPCM,SAL,2017,1,10000,0,15000
VNM,SPCM,SAL,2017,2,10000,0,15000
VNM,SPCM,SAL,2017,3,10000,0,15000
VNM,SPCM,SAL,2017,4,10000,0,15000
VNM,SPCM,SAL,2017,5,10000,0,15000
VNM,SPCM,SAL,2017,6,10000,0,15000
VNM,SPCM,SAL,2017,7,10000,0,15000
VNM,SPCM,SAL,2017,8,10000,0,15000
VNM,SPCM,SAL,2017,9,10000,0,15000
VNM,SPCM,SAL,2017,10,10000,0,15000
VNM,SPCM,SAL,2017,11,10000,0,15000
VNM,SPCM,SAL,2017,12,10000,0,15000
VNM,SPCM,SAL,2018,1,10000,0,15000
VNM,SPCM,SAL,2018,2,10000,0,15000
VNM,SPCM,SAL,2018,3,10000,0,15000
VNM,SPCM,SAL,2018,4,10000,0,15000
VNM,SPCM,SAL,2018,5,10000,0,15000
VNM,SPCM,SAL,2018,6,10000,0,15000
VNM,SPCM,SAL,2018,7,10000,0,15000
VNM,SPCM,SAL,2018,8,10000,0,15000
VNM,SPCM,SAL,2018,9,10000,0,15000
VNM,SPCM,SAL,2018,10,10000,0,15000
VNM,SPCM,SAL,2018,11,10000,0,15000
VNM,SPCM,SAL,2018,12,10000,0,15000
VNM,SPCM,SAL,2019,1,10000,0,15000
VNM,SPCM,SAL,2019,2,10000,0,15000
VNM,SPCM,SAL,2019,3,10000,0,15000
VNM,SPCM,SAL,2019,4,10000,0,15000
VNM,SPCM,SAL,2019,5,10000,0,15000
VNM,SPCM,SAL,2019,6,10000,0,15000
VNM,SPCM,SAL,2019,7,10000,0,15000
VNM,SPCM,SAL,2019,8,10000,0,15000
VNM,SPCM,SAL,2019,9,10000,0,15000
VNM,SPCM,SAL,2019,10,10000,0,15000
VNM,SPCM,SAL,2019,11,10000,0,15000
VNM,SPCM,SAL,2019,12,10000,0,15000
VNM,SPCM,SAL,2020,1,10000,0,15000
VNM,SPCM,SAL,2020,2,10000,0,15000
VNM,SPCM,SAL,2020,3,10000,0,15000
VNM,SPCM,SAL,2020,4,10000,0,15000
VNM,SPCM,SAL,2020,5,10000,0,15000
VNM,SPCM,SAL,2020,6,10000,0,15000
